train_loss,valid_loss,accuracy,roc_auc_score,precision_score,specificity,recall_score,f1_score
0.7572436928749084,0.7062539458274841,0.4883720874786377,0.34632034632034636,0.0,1.0,0.0,0.0
0.701020359992981,0.7180374264717102,0.3488371968269348,0.24242424242424246,0.2,0.6190476190476191,0.09090909090909091,0.125
0.6638824939727783,0.6833804845809937,0.5813953280448914,0.5930735930735931,0.5555555555555556,0.23809523809523808,0.9090909090909091,0.6896551724137931
0.6324434876441956,0.6146414279937744,0.7674418687820435,0.7532467532467533,0.7,0.5714285714285714,0.9545454545454546,0.8076923076923077
0.6165913939476013,0.5810275077819824,0.7674418687820435,0.7445887445887446,0.7307692307692307,0.6666666666666666,0.8636363636363636,0.7916666666666666
0.5994017124176025,0.6116146445274353,0.7674418687820435,0.7251082251082251,0.75,0.7142857142857143,0.8181818181818182,0.782608695652174
0.5901424288749695,0.5990499258041382,0.6744186282157898,0.7554112554112554,0.7222222222222222,0.7619047619047619,0.5909090909090909,0.65
0.586719810962677,0.5830650329589844,0.7441860437393188,0.8138528138528139,0.7894736842105263,0.8095238095238095,0.6818181818181818,0.7317073170731707
0.5726386904716492,0.688715398311615,0.7441860437393188,0.7402597402597403,0.7619047619047619,0.7619047619047619,0.7272727272727273,0.7441860465116279
0.5590925812721252,0.7025823593139648,0.7209302186965942,0.7619047619047619,0.75,0.7619047619047619,0.6818181818181818,0.7142857142857143
0.5529497265815735,0.6969171762466431,0.7209302186965942,0.774891774891775,0.6923076923076923,0.6190476190476191,0.8181818181818182,0.75
0.5381500720977783,0.7960388660430908,0.6976743936538696,0.7294372294372294,0.7142857142857143,0.7142857142857143,0.6818181818181818,0.6976744186046512
0.5377059578895569,0.9183236956596375,0.6744186282157898,0.7619047619047619,0.7857142857142857,0.8571428571428571,0.5,0.6111111111111112
0.5260627865791321,1.5966954231262207,0.4651162922382355,0.7164502164502164,0.3333333333333333,0.9047619047619048,0.045454545454545456,0.08
0.5271239876747131,0.8984673023223877,0.5813953280448914,0.6428571428571428,0.5833333333333334,0.5238095238095238,0.6363636363636364,0.6086956521739131
0.5281733870506287,0.7299006581306458,0.6744186282157898,0.774891774891775,0.7857142857142857,0.8571428571428571,0.5,0.6111111111111112
0.5080593824386597,0.6646038293838501,0.7441860437393188,0.8376623376623377,0.7894736842105263,0.8095238095238095,0.6818181818181818,0.7317073170731707
0.5122919678688049,1.0564844608306885,0.5348837375640869,0.7727272727272727,0.625,0.8571428571428571,0.22727272727272727,0.3333333333333333
0.5102069973945618,2.1824917793273926,0.4883720874786377,0.8116883116883117,0.5,0.9523809523809523,0.045454545454545456,0.08333333333333333
0.50270015001297,0.6962992548942566,0.7209302186965942,0.7164502164502164,0.7272727272727273,0.7142857142857143,0.7272727272727273,0.7272727272727273
0.48619380593299866,1.140338659286499,0.5813953280448914,0.6428571428571429,0.5714285714285714,0.42857142857142855,0.7272727272727273,0.64
0.4802984595298767,1.1071898937225342,0.6744186282157898,0.8160173160173162,0.8333333333333334,0.9047619047619048,0.45454545454545453,0.5882352941176471
0.4800240993499756,2.3436248302459717,0.4883720874786377,0.7510822510822511,0.0,1.0,0.0,0.0
0.47234752774238586,0.8667573928833008,0.5581395626068115,0.5887445887445888,0.5483870967741935,0.3333333333333333,0.7727272727272727,0.6415094339622641
0.48130783438682556,2.398387908935547,0.5116279125213623,0.7683982683982684,0.6666666666666666,0.9523809523809523,0.09090909090909091,0.16
0.49578145146369934,0.6750898361206055,0.7441860437393188,0.774891774891775,0.7391304347826086,0.7142857142857143,0.7727272727272727,0.7555555555555555
0.4777993857860565,1.0494575500488281,0.604651153087616,0.764069264069264,0.7777777777777778,0.9047619047619048,0.3181818181818182,0.45161290322580644
0.4669339060783386,1.5759657621383667,0.5348837375640869,0.7943722943722944,0.75,0.9523809523809523,0.13636363636363635,0.23076923076923078
0.4624757468700409,2.076939821243286,0.4883720874786377,0.7121212121212122,0.0,1.0,0.0,0.0
0.4672812521457672,0.842260479927063,0.7209302186965942,0.8181818181818182,0.8125,0.8571428571428571,0.5909090909090909,0.6842105263157895
0.4635102450847626,0.7422585487365723,0.6511628031730652,0.658008658008658,0.6296296296296297,0.5238095238095238,0.7727272727272727,0.6938775510204082
0.4605349004268646,0.9801112413406372,0.6744186282157898,0.6645021645021645,0.6538461538461539,0.5714285714285714,0.7727272727272727,0.7083333333333334
0.44694316387176514,0.8526666164398193,0.7209302186965942,0.7229437229437229,0.6666666666666666,0.5238095238095238,0.9090909090909091,0.7692307692307693
0.4367355406284332,2.289249897003174,0.5348837375640869,0.7662337662337663,0.6666666666666666,0.9047619047619048,0.18181818181818182,0.2857142857142857
0.4251722991466522,1.0986273288726807,0.5581395626068115,0.7662337662337663,0.6666666666666666,0.8571428571428571,0.2727272727272727,0.3870967741935484
0.41708287596702576,1.7704311609268188,0.604651153087616,0.8354978354978354,0.8571428571428571,0.9523809523809523,0.2727272727272727,0.41379310344827586
